place_slug,facility_id,common_name,address,block_lot,apn_block,apn_lot,is_city_owned,gross_sq_ft,department_name,is_primary,match_method,match_evidence,distance_m
portsmouth-square,1324,Portsmouth Square Clubhouse,733 KEARNY ST,0209017,0209,017,true,1860,Recreation And Parks,true,name,Portsmouth Square,34
portsmouth-square,1323,Portsmouth Square Bathrooms,733 KEARNY ST,0209017,0209,017,true,636,Recreation And Parks,false,name,Portsmouth Square,9
randall-museum,1369,Randall Museum,199 MUSEUM WAY,2615002,2615,002,true,32030,Recreation And Parks,true,name,Randall Museum,585
richmond-branch-library,1404,Richmond Branch Library,351 9TH AVE,1441007,1441,007,true,13900,Public Library,true,name,Richmond Branch Library,196
sf-city-hall,485,City Hall,1 DR CARLTON B GOODLETT PL,0787001,0787,001,true,516484,Gsa - Real Estate Division,true,name,San Francisco City Hall,7
sf-main-library,1044,Main Library,100 LARKIN ST,0354001,0354,001,true,376000,Public Library,true,name,San Francisco Main Library,41
sffd-division-of-training,688,Fire Division of Training  - Treasure Island,600 AVENUE M,,,,true,5040,Fire Department,true,name,Division of Training,569
sffd-division-of-training,689,Fire Division of Training - Folsom St,2310 FOLSOM ST,3594059,3594,059,true,,Fire Department,false,name,Division of Training,8001
sffd-station-1,691,Fire Station #1,935 FOLSOM ST,3753313,3753,313,true,,Fire Department,true,name,Fire Station 1,37
southeast-health-center,1621,Southeast Health Center,2401 KEITH ST,4849016,4849,016,true,14604,Public Health,true,name,Southeast Health Center,1013
southeast-treatment-plant,3023,Water Pollution Control,PIER 34 1/2,9900070,9900,070,true,,Public Utilities Commission,true,name,Southeast Water Pollution Control Plant,5030
stern-grove,1651,Stern Grove Restrooms,2899 19TH AVE,2488001,2488,001,true,1440,Recreation And Parks,true,name,Stern Grove,227
stern-grove,1646,Stern Grove - Dressing Rm 4,2899 19TH AVE,2488001,2488,001,true,672,Recreation And Parks,false,name,Stern Grove,317
stern-grove,1647,"Stern Grove - Dressing Rooms 1, 2 & 3",2899 19TH AVE,2488001,2488,001,true,1200,Recreation And Parks,false,name,Stern Grove,317
stern-grove,1648,Stern Grove - New Stage,2899 19TH AVE,2488001,2488,001,true,1134,Recreation And Parks,false,name,Stern Grove,317
stern-grove,1649,Stern Grove - stage deck,2899 19TH AVE,2488001,2488,001,true,3680,Recreation And Parks,false,name,Stern Grove,317
stern-grove,3487,Stern Grove Maint. Facility 2,19TH AVE & SLOAT BLVD,2488001,2488,001,true,,Recreation And Parks,false,name,Stern Grove,409
sunol-water-temple,1681,Sunol Water Temple,505 PALOMA WAY,,,,true,,Public Utilities Commission,true,name,Sunol Water Temple,1454
sunset-branch-library,1682,Sunset Branch Library,1305 18TH AVE,1773001,1773,001,true,9434,Public Library,true,name,Sunset Branch Library,45
sunset-reservoir,1686,Sunset Reservoir,1949 24TH AVE,2107001,2107,001,true,,Public Utilities Commission,true,name,Sunset Reservoir,300
union-square,1795,Union Square Concessions,360 POWELL ST,0308001,0308,001,true,,Recreation And Parks,true,name,Union Square,53
union-square,1796,Union Square Office,360 POWELL ST,0308001,0308,001,true,,Recreation And Parks,false,name,Union Square,53
union-square,1799,Union Square Performance Spaces,360 POWELL ST,0308001,0308,001,true,,Recreation And Parks,false,name,Union Square,53
union-square,3021,Union Square Storage,360 POWELL ST,0308001,0308,001,true,,Recreation And Parks,false,name,Union Square,53
veterans-building,1817,Veterans Building,401 VAN NESS AVE,0786A001,0786,A001,true,247500,War Memorial,true,name,Veterans Building (Herbst Theatre),18
war-memorial-opera-house,1212,Opera House,301 VAN NESS AVE,0786A001,0786,A001,true,315700,War Memorial,true,name,War Memorial Opera House,24
washington-square,1839,Washington Square Bathrooms,600 COLUMBUS AVE,0102001,0102,001,true,292,Recreation And Parks,true,name,Washington Square,46
zuckerberg-sf-general-hospital,3104,ZSFGH - Building 100,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,true,name,ZSFG,79
zuckerberg-sf-general-hospital,3116,ZSFGH - Behavioral Health,955 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,277
zuckerberg-sf-general-hospital,3102,ZSFGH - Building 1,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,116
zuckerberg-sf-general-hospital,3103,ZSFGH - Building 10,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,102
zuckerberg-sf-general-hospital,3108,ZSFGH - Building 20,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,92
zuckerberg-sf-general-hospital,3332,ZSFGH - Building 25,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,92
zuckerberg-sf-general-hospital,3118,ZSFGH - Building 3 - Carr Auditorium,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,100
zuckerberg-sf-general-hospital,3109,ZSFGH - Building 30,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,121
zuckerberg-sf-general-hospital,3110,ZSFGH - Building 4,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,89
zuckerberg-sf-general-hospital,3111,ZSFGH - Building 40,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,148
zuckerberg-sf-general-hospital,3112,ZSFGH - Building 80,995 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,198
zuckerberg-sf-general-hospital,3113,ZSFGH - Building 9,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,155
zuckerberg-sf-general-hospital,3114,ZSFGH - Building 90,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,181
zuckerberg-sf-general-hospital,3115,ZSFGH - Main Hospital - Building 5,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,50
zuckerberg-sf-general-hospital,3119,ZSFGH - Service Building,1001 POTRERO AVE,4154001,4154,001,true,,Public Health,false,name,ZSFG,159
