sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
544930,Cleaning Supplies,purchase,label_rule,false,2026-07-28
412510,Real Property Transfer Tax,obligation,label_rule,false,2026-07-28
544510,Minor Medical Equipment,purchase,label_rule,false,2026-07-28
542610,Plumbing Supplies,purchase,label_rule,false,2026-07-28
531410,Medical Equipment Rental,purchase,label_rule,false,2026-07-28
528040,Sludge Removal,purchase,code_range,false,2026-07-28
542980,Other Construction Materials,purchase,code_range,false,2026-07-28
527000,Prof & Specialized Svcs-Bdgt,purchase,code_range,false,2026-07-28
535520,Printing,unclear,unassigned,true,2026-07-28
506070,Programmatic Projects-Budget,purchase,code_range,false,2026-07-28
THRD_PRTY_SETTL_PAY,Third-Party Settlement Payable,unclear,unassigned,true,2026-07-28
411110,Payroll Tax,obligation,label_rule,false,2026-07-28
470201,PropositionB RetHlthCarePretax,ledger,code_range,false,2026-07-28
526110,Attorney Fees-Criminal,purchase,code_range,false,2026-07-28
527880,Registry - Medical Other,purchase,code_range,false,2026-07-28
411223,Commercial Rent Tax,obligation,label_rule,false,2026-07-28
206410,Unidentified Receipts,ledger,code_range,false,2026-07-28
551100,Workers Comp Expense,unclear,unassigned,true,2026-07-28
230520,230490CONFedIncomeTaxTaxUnIt5,obligation,code_range,false,2026-07-28
567000,"Bldgs,Struct&Imprv Proj-Budget",purchase,code_range,false,2026-07-28
479996,Fiscal Agent Reimb Clearing,ledger,code_range,false,2026-07-28
549710,Physical Collections-LIB Only,purchase,code_range,false,2026-07-28
549510,Other Office Supplies,purchase,label_rule,false,2026-07-28
526610,Interpreters,purchase,code_range,false,2026-07-28
200040,Retainage Payable,ledger,label_rule,false,2026-07-28
528910,Routine Maint Elevtr-Escalator,purchase,label_rule,false,2026-07-28
517010,Unemployment Insurance,obligation,label_rule,false,2026-07-28
543410,Communication Supplies,purchase,label_rule,false,2026-07-28
560510,Communications Equipment,purchase,label_rule,false,2026-07-28
535110,Cleaning Laundry,unclear,unassigned,true,2026-07-28
410943,Penalty-Costs-Redemption,obligation,label_rule,false,2026-07-28
435219,Union Square Garage,ledger,code_range,false,2026-07-28
535000,Other Current Expenses - Bdgt,purchase,label_rule,false,2026-07-28
