arrondissement,label,annee,logements_sociaux,residences_principales,source,source_url,licence
5,5e,2007,2129,31625,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2008,2161,31945,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2009,2363,31956,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2010,2420,31996,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2011,2432,31982,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2012,2605,32373,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2013,2633,32581,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2014,2669,32486,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2015,2761,32418,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2016,2970,32176,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2017,3091,32234,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2018,3108,31912,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
5,5e,2019,3126,32647,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2001,480,26413,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2002,519,26253,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2003,518,26084,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2004,529,25997,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2005,528,25583,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2006,485,25194,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2007,593,24834,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2008,615,24632,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2009,615,24197,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2010,643,23834,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2011,662,23742,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2012,719,23972,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2013,719,23589,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2014,719,23601,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2015,719,23860,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2016,846,23302,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2017,864,23041,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2018,864,23446,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
6,6e,2019,880,23716,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2001,244,31338,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2002,244,31543,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2003,213,31035,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2004,356,31006,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2005,356,30760,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2006,357,30737,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
7,7e,2007,367,30447,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
